,strdatetime,utcdatetime,close,MA
0,2017-04-24T22:00:00+08:00,1493042400.0,6648.0,0.0
1,2017-04-24T22:01:00+08:00,1493042460.0,6648.0,0.0
2,2017-04-24T22:02:00+08:00,1493042520.0,6650.0,0.0
3,2017-04-24T22:03:00+08:00,1493042580.0,6650.0,0.0
4,2017-04-24T22:04:00+08:00,1493042640.0,6652.0,0.0
5,2017-04-24T22:05:00+08:00,1493042700.0,6650.0,0.0
6,2017-04-24T22:06:00+08:00,1493042760.0,6651.0,0.0
7,2017-04-24T22:07:00+08:00,1493042820.0,6651.0,0.0
8,2017-04-24T22:08:00+08:00,1493042880.0,6651.0,0.0
9,2017-04-24T22:09:00+08:00,1493042940.0,6649.0,0.0
10,2017-04-24T22:10:00+08:00,1493043000.0,6647.0,0.0
11,2017-04-24T22:11:00+08:00,1493043060.0,6647.0,0.0
12,2017-04-24T22:12:00+08:00,1493043120.0,6647.0,0.0
13,2017-04-24T22:13:00+08:00,1493043180.0,6646.0,0.0
14,2017-04-24T22:14:00+08:00,1493043240.0,6647.0,0.0
15,2017-04-24T22:15:00+08:00,1493043300.0,6646.0,0.0
16,2017-04-24T22:16:00+08:00,1493043360.0,6647.0,0.0
17,2017-04-24T22:17:00+08:00,1493043420.0,6647.0,0.0
18,2017-04-24T22:18:00+08:00,1493043480.0,6647.0,0.0
19,2017-04-24T22:19:00+08:00,1493043540.0,6651.0,6648.6
20,2017-04-24T22:20:00+08:00,1493043600.0,6650.0,6648.7
21,2017-04-24T22:21:00+08:00,1493043660.0,6650.0,6648.8
22,2017-04-24T22:22:00+08:00,1493043720.0,6650.0,6648.8
23,2017-04-24T22:23:00+08:00,1493043780.0,6648.0,6648.7
24,2017-04-24T22:24:00+08:00,1493043840.0,6645.0,6648.35
25,2017-04-24T22:25:00+08:00,1493043900.0,6648.0,6648.25
26,2017-04-24T22:26:00+08:00,1493043960.0,6647.0,6648.05
27,2017-04-24T22:27:00+08:00,1493044020.0,6645.0,6647.75
28,2017-04-24T22:28:00+08:00,1493044080.0,6647.0,6647.55
29,2017-04-24T22:29:00+08:00,1493044140.0,6646.0,6647.4
30,2017-04-24T22:30:00+08:00,1493044200.0,6646.0,6647.35
